Year,Title,Credit(s),credits,introducer,presenter,narrator,archive,co-presenter,narratorandpresenter,interviewee,sound-recordist,director.,writer,guest,producer,year,decade,title
1952,Coelacanth,Producer,producer,0,0,0,0,0,0,0,0,0,0,0,1,1952,1950s,coelacanth
1952,"Animal, Vegetable, Mineral?",Producer,producer,0,0,0,0,0,0,0,0,0,0,0,1,1952,1950s,"animal, vegetable, mineral?"
1953,Song Hunter,Producer,producer,0,0,0,0,0,0,0,0,0,0,0,1,1953,1950s,song hunter
1953,The Pattern of Animals,Producer,producer,0,0,0,0,0,0,0,0,0,0,0,1,1953,1950s,the pattern of animals
1954,It's A Small World,Producer,producer,0,0,0,0,0,0,0,0,0,0,0,1,1954,1950s,it's a small world
1954,Zoo Quest,"Writer, presenter, sound-recordist and producer","writer, presenter, sound-recordist and producer",0,1,0,0,0,0,0,1,0,1,0,1,1954,1950s,zoo quest
1955,Zoo Quest to Guiana,"Writer, presenter, sound-recordist and producer","writer, presenter, sound-recordist and producer",0,1,0,0,0,0,0,1,0,1,0,1,1955,1950s,zoo quest to guiana
1955,Zoo Quest to West Africa,"Writer, presenter, sound-recordist and producer","writer, presenter, sound-recordist and producer",0,1,0,0,0,0,0,1,0,1,0,1,1955,1950s,zoo quest to west africa
1956,Zoo Quest for a Dragon,"Writer, presenter, sound-recordist and producer","writer, presenter, sound-recordist and producer",0,1,0,0,0,0,0,1,0,1,0,1,1956,1950s,zoo quest for a dragon
1957,Quest for the Paradise Birds,"Writer, presenter, sound-recordist and producer","writer, presenter, sound-recordist and producer",0,1,0,0,0,0,0,1,0,1,0,1,1957,1950s,quest for the paradise birds
1959,Zoo Quest in Paraguay,"Writer, presenter, sound-recordist and producer","writer, presenter, sound-recordist and producer",0,1,0,0,0,0,0,1,0,1,0,1,1959,1950s,zoo quest in paraguay
1960,The People of Paradise,"Writer, presenter, sound-recordist and producer","writer, presenter, sound-recordist and producer",0,1,0,0,0,0,0,1,0,1,0,1,1960,1960s,the people of paradise
1960,Elsa the Tamworth Lioness,Producer and presenter,producer and presenter,0,1,0,0,0,0,0,0,0,0,0,1,1960,1960s,elsa the tamworth lioness
1960,Travellers' Tales,Producer and narrator,producer and narrator,0,0,1,0,0,0,0,0,0,0,0,1,1960,1960s,travellers' tales
1961,Zoo Quest to Madagascar,"Writer, presenter, sound-recordist and producer","writer, presenter, sound-recordist and producer",0,1,0,0,0,0,0,1,0,1,0,1,1961,1960s,zoo quest to madagascar
1961,Japan,Producer,producer,0,0,0,0,0,0,0,0,0,0,0,1,1961,1960s,japan
1962,Destruction of the Indian,Producer,producer,0,0,0,0,0,0,0,0,0,0,0,1,1962,1960s,destruction of the indian
1963,Attenborough and Animals,Presenter,presenter,0,1,0,0,0,0,0,0,0,0,0,0,1963,1960s,attenborough and animals
1963,Quest Under Capricorn,"Writer, presenter, sound-recordist and producer","writer, presenter, sound-recordist and producer",0,1,0,0,0,0,0,1,0,1,0,1,1963,1960s,quest under capricorn
1965,Zambezi,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,1965,1960s,zambezi
1967,Life - East Africa,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,1967,1960s,life - east africa
1967,The World About Us,Narrator,narrator,0,0,1,0,0,0,0,0,0,0,0,0,1967,1960s,the world about us
1969,The Miracle of Bali,Narrator and producer,narrator and producer,0,0,1,0,0,0,0,0,0,0,0,1,1969,1960s,the miracle of bali
1971,A Blank on the Map,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,1971,1970s,a blank on the map
1973,Eastwards with Attenborough,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,1973,1970s,eastwards with attenborough
1973,The Life Game,Presenter,presenter,0,1,0,0,0,0,0,0,0,0,0,0,1973,1970s,the life game
1973,Natural Break,Presenter,presenter,0,1,0,0,0,0,0,0,0,0,0,0,1973,1970s,natural break
1973,Flying Prince of Wildlife,Presenter,presenter,0,1,0,0,0,0,0,0,0,0,0,0,1973,1970s,flying prince of wildlife
1973,Royal Institution Christmas Lectures,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,1973,1970s,royal institution christmas lectures
1973,Omnibus,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,1973,1970s,omnibus
1973 - 1975,The Explorers,Introducer and narrator,introducer and narrator,1,0,1,0,0,0,0,0,0,0,0,0,1973,1970s,the explorers
1975,Fabulous Animals,Presenter,presenter,0,1,0,0,0,0,0,0,0,0,0,0,1975,1970s,fabulous animals
1975,The Tribal Eye,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,1975,1970s,the tribal eye
1976,The Discoverers,Narrator,narrator,0,0,1,0,0,0,0,0,0,0,0,0,1976,1970s,the discoverers
1977,Wildlife on One,Narrator,narrator,0,0,1,0,0,0,0,0,0,0,0,0,1977,1970s,wildlife on one
1979,Life on Earth,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,1979,1970s,life on earth
1980,The Spirit of Asia,Narrator,narrator,0,0,1,0,0,0,0,0,0,0,0,0,1980,1980s,the spirit of asia
1980,Benjamin Britten – A Time There Was,Archive director.,archive director.,0,0,0,1,0,0,0,0,1,0,0,0,1980,1980s,benjamin britten – a time there was
1981,The Ark in South Kensington,Presenter,presenter,0,1,0,0,0,0,0,0,0,0,0,0,1981,1980s,the ark in south kensington
1984,The Living Planet,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,1984,1980s,the living planet
1985,The Million Pound Bird Book,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,1985,1980s,the million pound bird book
1986,World Safari,Co-presenter,co-presenter,0,1,0,0,1,0,0,0,0,0,0,0,1986,1980s,world safari
1987,The First Eden,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,1987,1980s,the first eden
1989,"Lost Worlds, Vanished Lives",Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,1989,1980s,"lost worlds, vanished lives"
1990,The Trials of Life,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,1990,1990s,the trials of life
1993,QED Gallop to Freedom,Narrator,narrator,0,0,1,0,0,0,0,0,0,0,0,0,1993,1990s,qed gallop to freedom
1993,Life in the Freezer,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,1993,1990s,life in the freezer
1994,Heart of a Nomad,Presenter,presenter,0,1,0,0,0,0,0,0,0,0,0,0,1994,1990s,heart of a nomad
1995,The Private Life of Plants,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,1995,1990s,the private life of plants
1996,Attenborough in Paradise,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,1996,1990s,attenborough in paradise
1996,Winners and Losers,Narrator,narrator,0,0,1,0,0,0,0,0,0,0,0,0,1996,1990s,winners and losers
1996,"IMAX – ""Survival Island""",Writer and narrator,writer and narrator,0,0,1,0,0,0,0,0,0,1,0,0,1996,1990s,"imax – ""survival island"""
1998,The Life of Birds,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,1998,1990s,the life of birds
1998,The Origin of Species: An Illustrated Guide,Narrator,narrator,0,0,1,0,0,0,0,0,0,0,0,0,1998,1990s,the origin of species: an illustrated guide
1999,Sharks – The Truth,Narrator,narrator,0,0,1,0,0,0,0,0,0,0,0,0,1999,1990s,sharks – the truth
1999,They Said It Couldn't Be Done,Presenter,presenter,0,1,0,0,0,0,0,0,0,0,0,0,1999,1990s,they said it couldn't be done
1999,NHK - Satoyama I: Japan's Secret Watergarden,Narrator,narrator,0,0,1,0,0,0,0,0,0,0,0,0,1999,1990s,nhk - satoyama i: japan's secret watergarden
2000,State of the Planet,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,2000,2000s,state of the planet
2000,The Lost Gods of Easter Island,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,2000,2000s,the lost gods of easter island
2000,Living with Dinosaurs,Narrator,narrator,0,0,1,0,0,0,0,0,0,0,0,0,2000,2000s,living with dinosaurs
2000,The Greatest Wildlife Show on Earth,Presenter,presenter,0,1,0,0,0,0,0,0,0,0,0,0,2000,2000s,the greatest wildlife show on earth
2000,The Song of the Earth,Presenter,presenter,0,1,0,0,0,0,0,0,0,0,0,0,2000,2000s,the song of the earth
2001,The Blue Planet,Narrator,narrator,0,0,1,0,0,0,0,0,0,0,0,0,2001,2000s,the blue planet
2002,The Life of Mammals,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,2002,2000s,the life of mammals
2002,Great Natural Wonders of the World,Presenter,presenter,0,1,0,0,0,0,0,0,0,0,0,0,2002,2000s,great natural wonders of the world
2002,Life on Air,Guest Interviewee,guest interviewee,0,0,0,0,0,0,1,0,0,0,1,0,2002,2000s,life on air
2004,NHK - Satoyama II Japan's Secret Water Garden (2004),Narrator,narrator,0,0,1,0,0,0,0,0,0,0,0,0,2004,2000s,nhk - satoyama ii japan's secret water garden (2004)
2005,Animal Crime Scene,Narrator,narrator,0,0,1,0,0,0,0,0,0,0,0,0,2005,2000s,animal crime scene
2005,Life in the Undergrowth,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,2005,2000s,life in the undergrowth
2006,Planet Earth,Narrator,narrator,0,0,1,0,0,0,0,0,0,0,0,0,2006,2000s,planet earth
2006,Planet Earth - The Diaries,Narrator,narrator,0,0,1,0,0,0,0,0,0,0,0,0,2006,2000s,planet earth - the diaries
2006,The Truth about Climate Change,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,2006,2000s,the truth about climate change
2006,Gorillas Revisited,Presenter,presenter,0,1,0,0,0,0,0,0,0,0,0,0,2006,2000s,gorillas revisited
2007,Climate Change: Britain Under Threat,Presenter,presenter,0,1,0,0,0,0,0,0,0,0,0,0,2007,2000s,climate change: britain under threat
2007,Tom Harrisson: The Barefoot Anthropologist,Presenter,presenter,0,1,0,0,0,0,0,0,0,0,0,0,2007,2000s,tom harrisson: the barefoot anthropologist
2007,Attenborough Explores... Our Fragile World,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,2007,2000s,attenborough explores... our fragile world
2008,Life in Cold Blood,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,2008,2000s,life in cold blood
2008,Humpbacks: From Fire to Ice,Narrator,narrator,0,0,1,0,0,0,0,0,0,0,0,0,2008,2000s,humpbacks: from fire to ice
2008,Tiger: Spy in the Jungle,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,2008,2000s,tiger: spy in the jungle
2009,Charles Darwin and the Tree of Life,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,2009,2000s,charles darwin and the tree of life
2009,Nature's Great Events,Narrator,narrator,0,0,1,0,0,0,0,0,0,0,0,0,2009,2000s,nature's great events
2009,Uncovering Our Earliest Ancestor: The Link,Writer and narrator,writer and narrator,0,0,1,0,0,0,0,0,0,1,0,0,2009,2000s,uncovering our earliest ancestor: the link
2009,Life,Writer and narrator,writer and narrator,0,0,1,0,0,0,0,0,0,1,0,0,2009,2000s,life
2010,David Attenborough's First Life,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,2010,2010s,david attenborough's first life
2010,The Death of the Oceans?,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,2010,2010s,the death of the oceans?
2010,Flying Monsters 3D,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,2010,2010s,flying monsters 3d
2011,Madagascar,Narrator,narrator,0,0,1,0,0,0,0,0,0,0,0,0,2011,2010s,madagascar
2011,Attenborough and the Giant Egg,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,2011,2010s,attenborough and the giant egg
2011,Desert Seas,Narrator,narrator,0,0,1,0,0,0,0,0,0,0,0,0,2011,2010s,desert seas
2011,Frozen Planet,Narrator/presenter,narratorandpresenter,0,1,1,0,0,1,0,0,0,0,0,0,2011,2010s,frozen planet
2012,The Penguin King,Writer and narrator,writer and narrator,0,0,1,0,0,0,0,0,0,1,0,0,2012,2010s,the penguin king
2012,Secrets of Wild India,Narrator,narrator,0,0,1,0,0,0,0,0,0,0,0,0,2012,2010s,secrets of wild india
2012,Superfish: Bluefin Tuna (aka Hot Tuna),Narrator,narrator,0,0,1,0,0,0,0,0,0,0,0,0,2012,2010s,superfish: bluefin tuna (aka hot tuna)
2012,Kingdom of Plants 3D,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,2012,2010s,kingdom of plants 3d
2012,Attenborough's Ark: A Natural World Special,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,2012,2010s,attenborough's ark: a natural world special
2012,Attenborough: 60 Years in the Wild,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,2012,2010s,attenborough: 60 years in the wild
2012,Hummingbirds: Jewelled Messengers,Presenter,presenter,0,1,0,0,0,0,0,0,0,0,0,0,2012,2010s,hummingbirds: jewelled messengers
2012,Sir David Attenborough – A Life on Earth. A Live show.,Interviewee,interviewee,0,0,0,0,0,0,1,0,0,0,0,0,2012,2010s,sir david attenborough – a life on earth. a live show.
2013,Galapagos 3D,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,2013,2010s,galapagos 3d
2013,David Attenborough's Natural Curiosities,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,2013,2010s,david attenborough's natural curiosities
2013,Africa,Narrator and presenter,narrator and presenter,0,1,1,0,0,0,0,0,0,0,0,0,2013,2010s,africa
2013,Micro Monsters 3D,Narrator and presenter,narrator and presenter,0,1,1,0,0,0,0,0,0,0,0,0,2013,2010s,micro monsters 3d
2013,Wild Cameramen at Work,Narrator and presenter,narrator and presenter,0,1,1,0,0,0,0,0,0,0,0,0,2013,2010s,wild cameramen at work
2013,Attenborough's Rise of Animals: Triumph of the Vertebrates,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,2013,2010s,attenborough's rise of animals: triumph of the vertebrates
2014,Sir David Attenborough's Natural Curiosities,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,2014,2010s,sir david attenborough's natural curiosities
2014,David Attenborough's Natural History Museum Alive,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,2014,2010s,david attenborough's natural history museum alive
2014,Life Story,Narrator and presenter,narrator and presenter,0,1,1,0,0,0,0,0,0,0,0,0,2014,2010s,life story
2015,David Attenborough's Conquest of the Skies 3D,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,2015,2010s,david attenborough's conquest of the skies 3d
2015,Attenborough's Paradise Birds,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,2015,2010s,attenborough's paradise birds
2015,David Attenborough's Natural Curiosities,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,2015,2010s,david attenborough's natural curiosities
2015,Wild City (aka Cities of the Wild),Narrator,narrator,0,0,1,0,0,0,0,0,0,0,0,0,2015,2010s,wild city (aka cities of the wild)
2015,The Hunt,Narrator and presenter,narrator and presenter,0,1,1,0,0,0,0,0,0,0,0,0,2015,2010s,the hunt
2015,Great Barrier Reef with Sir David Attenborough,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,2015,2010s,great barrier reef with sir david attenborough
2016,Attenborough and the Giant Dinosaur (aka Raising the Dinosaur Giant),Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,2016,2010s,attenborough and the giant dinosaur (aka raising the dinosaur giant)
2016,Attenborough's Life That Glows (aka David Attenborough’s Light on Earth),Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,2016,2010s,attenborough's life that glows (aka david attenborough’s light on earth)
2016,Attenborough's Passion Projects,Interviewee / presenter,interviewee and presenter,0,1,0,0,0,0,1,0,0,0,0,0,2016,2010s,attenborough's passion projects
2016,Planet Earth II,Narrator & Presenter,narrator and presenter,0,1,1,0,0,0,0,0,0,0,0,0,2016,2010s,planet earth ii
2016,Zoo Quest In Colour,"Interviewee, Narrator & Presenter","interviewee, narrator and presenter",0,1,1,0,0,0,1,0,0,0,0,0,2016,2010s,zoo quest in colour
2017,Plants Behaving Badly,Presenter,presenter,0,1,0,0,0,0,0,0,0,0,0,0,2017,2010s,plants behaving badly
2017,David Attenborough's Natural Curiosities,Writer and presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,2017,2010s,david attenborough's natural curiosities
2017,Blue Planet II,Narrator & Presenter,narrator and presenter,0,1,1,0,0,0,0,0,0,0,0,0,2017,2010s,blue planet ii
2017,Attenborough and the Giant Elephant,Writer & Presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,2017,2010s,attenborough and the giant elephant
2018,The Queen's Green Planet,Presenter,presenter,0,1,0,0,0,0,0,0,0,0,0,0,2018,2010s,the queen's green planet
2018,Attenborough and the Sea Dragon,Writer & Presenter,writer and presenter,0,1,0,0,0,0,0,0,0,1,0,0,2018,2010s,attenborough and the sea dragon
2018,David Attenborough's Tasmania,Narrator,narrator,0,0,1,0,0,0,0,0,0,0,0,0,2018,2010s,david attenborough's tasmania
2018,Dynasties,Narrator & Presenter,narrator and presenter,0,1,1,0,0,0,0,0,0,0,0,0,2018,2010s,dynasties
2019,Wild Karnataka,Narrator,narrator,0,0,1,0,0,0,0,0,0,0,0,0,2019,2010s,wild karnataka
2019,Our Planet,Narrator & Presenter,narrator and presenter,0,1,1,0,0,0,0,0,0,0,0,0,2019,2010s,our planet
2019,Climate Change - The Facts,Narrator & Presenter,narrator and presenter,0,1,1,0,0,0,0,0,0,0,0,0,2019,2010s,climate change - the facts
2019,"Seven Worlds, One Planet",Narrator & Presenter,narrator and presenter,0,1,1,0,0,0,0,0,0,0,0,0,2019,2010s,"seven worlds, one planet"
2020,Extinction: The Facts,Narrator & Presenter,narrator and presenter,0,1,1,0,0,0,0,0,0,0,0,0,2020,2020s,extinction: the facts
2020,David Attenborough: A Life on Our Planet,Narrator & Presenter,narrator and presenter,0,1,1,0,0,0,0,0,0,0,0,0,2020,2020s,david attenborough: a life on our planet
2021,A Perfect Planet,Narrator,narrator,0,0,1,0,0,0,0,0,0,0,0,0,2021,2020s,a perfect planet
2021,Life In Colour,Presenter,presenter,0,1,0,0,0,0,0,0,0,0,0,0,2021,2020s,life in colour
2021,Breaking Boundaries: The Science of Our Planet,Presenter,presenter,0,1,0,0,0,0,0,0,0,0,0,0,2021,2020s,breaking boundaries: the science of our planet
2021,The Mating Game,Narrator,narrator,0,0,1,0,0,0,0,0,0,0,0,0,2021,2020s,the mating game
2021,The Earthshot Prize: Repairing Our Planet,Narrator & Presenter,narrator and presenter,0,1,1,0,0,0,0,0,0,0,0,0,2021,2020s,the earthshot prize: repairing our planet
2022,Attenborough's Wonder of Song,Narrator & Presenter,narrator and presenter,0,1,1,0,0,0,0,0,0,0,0,0,2022,2020s,attenborough's wonder of song
2022,The Green Planet,Presenter,presenter,0,1,0,0,0,0,0,0,0,0,0,0,2022,2020s,the green planet
2022,Dinosaurs: The Final Day with David Attenborough,Presenter,presenter,0,1,0,0,0,0,0,0,0,0,0,0,2022,2020s,dinosaurs: the final day with david attenborough
2022,Dynasties II,Narrator,narrator,0,0,1,0,0,0,0,0,0,0,0,0,2022,2020s,dynasties ii
2022,Prehistoric Planet,Narrator,narrator,0,0,1,0,0,0,0,0,0,0,0,0,2022,2020s,prehistoric planet
2022,Frozen Planet II,Narrator,narrator,0,0,1,0,0,0,0,0,0,0,0,0,2022,2020s,frozen planet ii
2023,Wild Isles,Presenter,presenter,0,1,0,0,0,0,0,0,0,0,0,0,2023,2020s,wild isles
2023,Prehistoric Planet 2,Narrator,narrator,0,0,1,0,0,0,0,0,0,0,0,0,2023,2020s,prehistoric planet 2
2023,Our Planet II,Narrator,narrator,0,0,1,0,0,0,0,0,0,0,0,0,2023,2020s,our planet ii
2023,Planet Earth III,Narrator & Presenter,narrator and presenter,0,1,1,0,0,0,0,0,0,0,0,0,2023,2020s,planet earth iii
